codigo_dane_departamento,departamento,codigo_dane_municipio,municipio,desagregacion_cultivo,cultivo,ciclo_del_cultivo,grupo_cultivo,subgrupo,year_es,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,nombre_cientifico_del_cultivo,codigo_del_cultivo,estado_fisico_del_cultivo
5,Antioquia,5004,Abriaquí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,113,93,122,1.31,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5004,Abriaquí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,113,96,118,1.23,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5004,Abriaquí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,117.44,102.4,111.616,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5004,Abriaquí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,120.21,108.57,140.44,1.29,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5004,Abriaquí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,115.97,102.33,178.09,1.74,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5021,Alejandría,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,663,545,684,1.26,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5021,Alejandría,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,631,524,607.84,1.16,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5021,Alejandría,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,555.08,458.23,623.1928,1.36,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5021,Alejandría,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,532.16,445.03,466.31,1.05,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5021,Alejandría,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,528.28,457.14,568.42,1.24,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5030,Amagá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,609,505.7,910.26,1.8,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5030,Amagá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,607,547,133,0.24,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5030,Amagá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,551.22,475.21,646.2856,1.36,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5030,Amagá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,506.33,445.81,554.98,1.24,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5030,Amagá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,481.69,424.5,622.2,1.47,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5031,Amalfi,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,1801,1481,1936,1.31,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5031,Amalfi,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,1783,1509,1823,1.21,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5031,Amalfi,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,1761.72,1489.11,1355.0901,0.91,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5031,Amalfi,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,1728.92,1447.03,1025.63,0.71,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5031,Amalfi,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,1669.23,1410.79,939.97,0.67,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5034,Andes,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,10457,7577,10115,1.33,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5034,Andes,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,10462,8256,2038.2,0.25,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5034,Andes,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,10540.36,7902.28,7744.2344,0.98,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5034,Andes,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,10613.46,7954.13,6015.97,0.76,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5034,Andes,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,10625.7,8268.72,5649.21,0.68,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5036,Angelópolis,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,256,217,283,1.3,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5036,Angelópolis,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,245,204,246,1.21,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5036,Angelópolis,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,239.84,203.55,185.2305,0.91,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5036,Angelópolis,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,236.6,210.65,181.09,0.86,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5036,Angelópolis,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,216.31,181.72,172.8,0.95,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5038,Angostura,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,786,654,844,1.29,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5038,Angostura,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,787,659,786,1.19,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5038,Angostura,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,772.37,660.96,720.4464,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5038,Angostura,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,786.35,668.94,258.56,0.39,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5038,Angostura,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,788.95,684.78,385.13,0.56,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5040,Anorí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,279,216,289,1.34,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5040,Anorí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,278,243,299,1.23,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5040,Anorí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,285.13,239.38,260.9242,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5040,Anorí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,290.75,232.21,193.08,0.83,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5040,Anorí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,290.63,232.17,220.18,0.95,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5042,Santa Fé de Antioquia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,2219,1906,2452,1.29,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5042,Santa Fé de Antioquia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,1823,1353,1609,1.19,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5042,Santa Fé de Antioquia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,1866.9,1437.43,1696.1674,1.18,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5042,Santa Fé de Antioquia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,1891.38,1676.28,1832.46,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5042,Santa Fé de Antioquia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,1913.57,1779.37,1795.85,1.01,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5044,Anzá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,1986,1665,2148,1.29,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5044,Anzá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,1991,1789,2134,1.19,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5044,Anzá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,2012.01,1857.95,1950.8475,1.05,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5044,Anzá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,2026.67,1841.43,1215.32,0.66,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5044,Anzá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,2020.42,1780.4,1763.56,0.99,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5055,Argelia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,1170,1023,1288,1.26,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5055,Argelia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,1179,1110,1291,1.16,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5055,Argelia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,1129.85,1056.81,1458.3978,1.38,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5055,Argelia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,1034.86,914.27,1177.25,1.29,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5055,Argelia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,940.19,818.46,1140.09,1.39,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5059,Armenia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,568,548,822,1.5,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5059,Armenia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,545,471,582,1.24,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5059,Armenia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,521.87,426.92,478.1504,1.12,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5059,Armenia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,514.2,446.59,433.44,0.97,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5059,Armenia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,511.55,454.92,436.17,0.96,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5079,Barbosa,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,1006,884,1112,1.26,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5079,Barbosa,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,968,862,999.92,1.16,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5079,Barbosa,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,911.71,812.45,918.0685,1.13,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5079,Barbosa,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,881.43,802.6,691.68,0.86,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5079,Barbosa,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,797.67,735.06,645.32,0.88,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5088,Bello,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,145,129,166,1.29,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5088,Bello,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,145,134,160,1.19,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5088,Bello,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,145.18,132.99,121.0209,0.91,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5088,Bello,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,125.15,112.2,104.14,0.93,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5088,Bello,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,124.29,115.74,101.78,0.88,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5091,Betania,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,6485,4850,6488,1.34,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5091,Betania,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,6485,5046,6240,1.24,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5091,Betania,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,6488.92,4907.61,7017.8823,1.43,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5091,Betania,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,6486.85,4744.25,5746.88,1.21,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5091,Betania,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,6561.39,4718.29,7044.82,1.49,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5093,Betulia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,5847,4315,5817,1.35,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5093,Betulia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,5878,4736,5903,1.25,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5093,Betulia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,5936.14,4773.27,4773.27,1,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5093,Betulia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,6074.69,4980.08,3726.98,0.75,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5093,Betulia,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,6154.67,5036.73,3197.16,0.63,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5101,Ciudad Bolívar,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,9939,7441,9903,1.33,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5101,Ciudad Bolívar,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,9902,7761,9545,1.23,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5101,Ciudad Bolívar,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,9733.55,7365.18,6775.9656,0.92,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5101,Ciudad Bolívar,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,9405.83,7148.41,7457.83,1.04,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5101,Ciudad Bolívar,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,9048.01,7010.66,7909.67,1.13,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5107,Briceño,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,511,402,529,1.32,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5107,Briceño,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,536,439,534,1.22,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5107,Briceño,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,576.09,475.38,518.1642,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5107,Briceño,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,601.45,510.01,453.55,0.89,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5107,Briceño,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,592.84,512.62,425.79,0.83,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5113,Buriticá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,909,828,1019,1.23,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5113,Buriticá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,895,830,944,1.14,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5113,Buriticá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,905.29,821.17,821.17,1,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5113,Buriticá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,897.38,804.45,682.02,0.85,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5113,Buriticá,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,859.52,797.26,667.04,0.84,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5125,Caicedo,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,2331,2130,2725,1.28,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5125,Caicedo,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,2305,2079,2459,1.18,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5125,Caicedo,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,2244.2,1980.68,2158.9412,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5125,Caicedo,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,2122.71,1888.82,1776.7,0.94,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5125,Caicedo,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,2007.6,1760.38,1824.81,1.04,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5129,Caldas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,134,113,148,1.31,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5129,Caldas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,133,111,135,1.22,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5129,Caldas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,120.25,98.11,106.9399,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5129,Caldas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,114.03,84.51,16.35,0.19,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5129,Caldas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,115.48,91.68,99.72,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5134,Campamento,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,204,166,218,1.31,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5134,Campamento,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,202,173,104.5,0.6,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5134,Campamento,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,200.25,174.78,190.5102,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5134,Campamento,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,197.01,172.99,163.83,0.95,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5134,Campamento,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,202.31,180.4,155.98,0.86,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5138,Cañasgordas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,2046,1734,2188,1.26,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5138,Cañasgordas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,2032,1834,2139,1.17,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5138,Cañasgordas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,1977.02,1749.29,1906.7261,1.09,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5138,Cañasgordas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,1926.46,1723.86,2028.28,1.18,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5138,Cañasgordas,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,1772.01,1623.25,1758.21,1.08,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5142,Caracolí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,21,21,26,1.24,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5142,Caracolí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2020,2020,21,21,12,0.57,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5142,Caracolí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2021,2021,20.71,20.71,28.1656,1.36,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5142,Caracolí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2022,2022,10.6,10.43,21.89,2.1,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5142,Caracolí,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2023,2023,10.6,10.43,2.96,0.28,Coffea arabica,2030300,Pergamino o seco de trilla
5,Antioquia,5145,Caramanta,Café,Café,Permanente,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,2019,2019,789,635,836,1.32,Coffea arabica,2030300,Pergamino o seco de trilla
